source_file,cleaned_file,business_file,no_outgoing_edges_file,cleaned_chars,has_business_section,business_chars,has_competition_term_anywhere,has_competition_term_in_business,section_source,audit_category,audit_reason,is_isolated,has_business_header,has_competition_header
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\100122\2023-02-10__TUCSON ELECTRIC POWER CO__0000100122-23-000004.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__TUCSON ELECTRIC POWER CO__0000100122-23-000004.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__TUCSON ELECTRIC POWER CO__0000100122-23-000004_business.txt,,281027,True,2211,True,False,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001233\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666_business.txt",,607151,True,133521,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001250\2023-08-18__ESTEE LAUDER COMPANIES INC__0001001250-23-000112.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-08-18__ESTEE LAUDER COMPANIES INC__0001001250-23-000112.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-08-18__ESTEE LAUDER COMPANIES INC__0001001250-23-000112_business.txt,,499588,True,297054,True,False,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001316\2023-03-01__TG THERAPEUTICS, INC.__0001558370-23-002610.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-01__TG THERAPEUTICS, INC.__0001558370-23-002610.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-01__TG THERAPEUTICS, INC.__0001558370-23-002610_business.txt",,473806,True,25520,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001385\2023-03-16__NORTHWEST PIPE CO__0001437749-23-006891.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-16__NORTHWEST PIPE CO__0001437749-23-006891.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-16__NORTHWEST PIPE CO__0001437749-23-006891_business.txt,,283797,True,34367,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001601\2023-03-31__MGT CAPITAL INVESTMENTS, INC.__0001493152-23-010322.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-31__MGT CAPITAL INVESTMENTS, INC.__0001493152-23-010322.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-31__MGT CAPITAL INVESTMENTS, INC.__0001493152-23-010322_business.txt",,245066,True,13252,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001614\2023-03-08__Riley Exploration Permian, Inc.__0001001614-23-000011.txt",,,,449724,False,0,True,False,,no_business_header_has_competition_term,No business header detected but competition terms found elsewhere.,True,False,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001838\2023-02-28__SOUTHERN COPPER CORP___0001558370-23-002328.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-28__SOUTHERN COPPER CORP___0001558370-23-002328.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-28__SOUTHERN COPPER CORP___0001558370-23-002328_business.txt,,617910,True,17749,True,True,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001902\2023-02-16__INTEVAC INC__0001193125-23-041068.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__INTEVAC INC__0001193125-23-041068.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__INTEVAC INC__0001193125-23-041068_business.txt,,254902,True,42081,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001907\2023-09-28__ASTROTECH Corp__0001437749-23-027063.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-09-28__ASTROTECH Corp__0001437749-23-027063.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-09-28__ASTROTECH Corp__0001437749-23-027063_business.txt,,320399,True,83301,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1002047\2023-06-14__NetApp, Inc.__0000950170-23-027948.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-06-14__NetApp, Inc.__0000950170-23-027948.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-06-14__NetApp, Inc.__0000950170-23-027948_business.txt",,358289,True,123605,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1002590\2023-12-06__STAR GROUP, L.P.__0000950170-23-068567.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-12-06__STAR GROUP, L.P.__0000950170-23-068567.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-12-06__STAR GROUP, L.P.__0000950170-23-068567_business.txt",,354894,True,36497,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1002638\2023-08-03__OPEN TEXT CORP__0001002638-23-000022.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-08-03__OPEN TEXT CORP__0001002638-23-000022.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-08-03__OPEN TEXT CORP__0001002638-23-000022_business.txt,,832330,True,35356,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1002910\2023-02-22__AMEREN CORP__0001002910-23-000053.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__AMEREN CORP__0001002910-23-000053.txt,,C:\JuneKim0712\Code\daeun\2023_no_outgoing_edges\2023-02-22__AMEREN CORP__0001002910-23-000053_business.txt,741984,True,753,True,False,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1003078\2023-10-25__MSC INDUSTRIAL DIRECT CO INC__0001003078-23-000102.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-10-25__MSC INDUSTRIAL DIRECT CO INC__0001003078-23-000102.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-10-25__MSC INDUSTRIAL DIRECT CO INC__0001003078-23-000102_business.txt,,279271,True,48038,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1003509\2023-03-28__AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST__0001193125-23-082276.txt,,,,25683,False,0,False,False,,business_header_only,Business header found but content too short (likely over-cleaned).,True,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\100378\2023-09-08__TWIN DISC INC__0001437749-23-025446.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-09-08__TWIN DISC INC__0001437749-23-025446.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-09-08__TWIN DISC INC__0001437749-23-025446_business.txt,,214828,True,6299,True,True,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1003815\2023-03-22__BCTC IV ASSIGNOR CORP__0001410578-23-000326.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-22__BCTC IV ASSIGNOR CORP__0001410578-23-000326.txt,,C:\JuneKim0712\Code\daeun\2023_no_outgoing_edges\2023-03-22__BCTC IV ASSIGNOR CORP__0001410578-23-000326_business.txt,24580,True,8245,False,False,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1004036\2023-02-27__TANGER PROPERTIES LTD PARTNERSHIP _NC___0000899715-23-000044.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-27__TANGER PROPERTIES LTD PARTNERSHIP _NC___0000899715-23-000044.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-27__TANGER PROPERTIES LTD PARTNERSHIP _NC___0000899715-23-000044_business.txt,,417337,True,33274,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1004155\2023-02-16__SOUTHERN Co GAS__0000092122-23-000012.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__SOUTHERN Co GAS__0000092122-23-000012.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__SOUTHERN Co GAS__0000092122-23-000012_business.txt,,1139739,True,70344,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1004434\2023-02-17__AFFILIATED MANAGERS GROUP, INC.__0001004434-23-000010.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__AFFILIATED MANAGERS GROUP, INC.__0001004434-23-000010.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__AFFILIATED MANAGERS GROUP, INC.__0001004434-23-000010_business.txt",,318154,True,19440,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1004702\2023-02-24__OCEANFIRST FINANCIAL CORP__0001004702-23-000017.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-24__OCEANFIRST FINANCIAL CORP__0001004702-23-000017.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-24__OCEANFIRST FINANCIAL CORP__0001004702-23-000017_business.txt,,405271,True,4247,True,True,business,,,False,True,False
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1004724\2023-04-14__REGIONAL HEALTH PROPERTIES, INC__0000950170-23-012916.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-14__REGIONAL HEALTH PROPERTIES, INC__0000950170-23-012916.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-04-14__REGIONAL HEALTH PROPERTIES, INC__0000950170-23-012916_business.txt",,469075,True,11119,True,False,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\10048\2023-12-18__BARNWELL INDUSTRIES INC__0000010048-23-000022.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-12-18__BARNWELL INDUSTRIES INC__0000010048-23-000022.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-12-18__BARNWELL INDUSTRIES INC__0000010048-23-000022_business.txt,,337613,True,45640,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\100493\2023-11-13__TYSON FOODS, INC.__0000100493-23-000105.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-11-13__TYSON FOODS, INC.__0000100493-23-000105.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-11-13__TYSON FOODS, INC.__0000100493-23-000105_business.txt",,439809,True,4601,True,False,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1004980\2023-02-23__PG&E Corp__0001004980-23-000029.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__PG&E Corp__0001004980-23-000029.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__PG&E Corp__0001004980-23-000029_business.txt,,827479,True,60352,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1004989\2023-04-17__SPAR Group, Inc.__0001437749-23-010432.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-17__SPAR Group, Inc.__0001437749-23-010432.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-04-17__SPAR Group, Inc.__0001437749-23-010432_business.txt",,261482,True,24715,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005101\2023-09-25__Marygold Companies, Inc.__0001437749-23-026697.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-09-25__Marygold Companies, Inc.__0001437749-23-026697.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-09-25__Marygold Companies, Inc.__0001437749-23-026697_business.txt",,311748,True,36254,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\100517\2023-02-16__United Airlines Holdings, Inc.__0000100517-23-000048.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__United Airlines Holdings, Inc.__0000100517-23-000048.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__United Airlines Holdings, Inc.__0000100517-23-000048_business.txt",,466514,True,60458,True,True,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005210\2023-11-22__SUBURBAN PROPANE PARTNERS LP__0000950170-23-065770.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-11-22__SUBURBAN PROPANE PARTNERS LP__0000950170-23-065770.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-11-22__SUBURBAN PROPANE PARTNERS LP__0000950170-23-065770_business.txt,,591728,True,51891,True,False,competition,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005229\2023-05-25__COLUMBUS MCKINNON CORP__0001005229-23-000169.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-05-25__COLUMBUS MCKINNON CORP__0001005229-23-000169.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-05-25__COLUMBUS MCKINNON CORP__0001005229-23-000169_business.txt,,335532,True,31151,True,True,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005284\2023-02-23__UNIVERSAL DISPLAY CORP _PA___0000950170-23-004086.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__UNIVERSAL DISPLAY CORP _PA___0000950170-23-004086.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__UNIVERSAL DISPLAY CORP _PA___0000950170-23-004086_business.txt,,309757,True,16082,True,False,competition,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005731\2023-10-16__IDT CORP__0001493152-23-037384.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-10-16__IDT CORP__0001493152-23-037384.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-10-16__IDT CORP__0001493152-23-037384_business.txt,,451692,True,5528,True,False,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005757\2023-02-17__CSG SYSTEMS INTERNATIONAL INC__0000950170-23-003146.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__CSG SYSTEMS INTERNATIONAL INC__0000950170-23-003146.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__CSG SYSTEMS INTERNATIONAL INC__0000950170-23-003146_business.txt,,303819,True,20449,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005817\2023-03-01__TOMPKINS FINANCIAL CORP__0001005817-23-000002.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-01__TOMPKINS FINANCIAL CORP__0001005817-23-000002.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-01__TOMPKINS FINANCIAL CORP__0001005817-23-000002_business.txt,,487175,True,40375,True,True,business,,,False,True,True
